time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.520544379433714e-10,1.7836595790005205e-07,10.002706391922263,0.00018623094537861817,6.283184441365005,0.0,6.525259180890524e-08,1.5941110727191124e-05,0.09020948676677124,0.008683554326417599,-4.330897466989815e-05,0.0,434.18248763761153,434.1788551260251,433.01917593686096,433.7488578735818
0.12000000000000001,-3.9066030205034526e-08,5.814553995556302e-06,10.007095945053855,0.000666663745254148,9.015826790381709e-05,0.0,-5.160472057177546e-06,0.00021309560226867797,0.05611168907632398,0.006618992900109191,0.0044684073676322066,0.0,391.7931996122237,392.2123438587861,392.2217286490096,392.02986812131854
0.18,-3.2280371684820363e-06,3.301292898525702e-05,10.012393268915346,0.0008428578579433577,0.0005156273134998557,0.0,-0.00013512584772405712,0.0007224647547939423,0.12046055337275388,-0.005691762136466315,0.01187911871338663,0.0,425.604335957276,426.2379166155259,425.4966044249105,424.44152465370667
0.23999999999999996,-3.0175897282798486e-05,9.89147425554358e-05,10.031047490014561,0.00033477610075660635,0.0012331872737849636,0.0,-0.0008657752814021591,0.0014141651191355552,0.5012587409639291,-0.014696418726940667,0.012119279658519505,0.0,518.6061805193949,518.622901394825,518.5862295743873,517.9535708131414
0.3,-0.00010991969807066539,0.00018770753134040745,10.063841950712039,6.28303347274467,0.0018282375359000014,0.0,-0.0018592219181537363,0.0014792466833748333,0.5918467802292001,0.0025762338829843183,0.0051037958606546235,0.0,434.2070299168905,433.61805604803504,433.72663996964434,435.17474897946795
0.36000000000000004,-0.0002694448185245679,0.0002736702498693283,10.107203955681694,0.0002738948828442389,0.0019445364289714107,0.0,-0.0034857241178061662,0.0014243160839348058,0.8533949453565219,0.014874021129550236,-0.005294182889300504,0.0,486.65426052451244,485.87541867618967,484.9911470582308,485.91369712723383
0.4200000000000001,-0.0005252250083410434,0.00037035741548832677,10.16548912608774,0.0014534701478110534,0.0016092415894499723,0.0,-0.005000058579464848,0.0019267162338419091,1.0892493557195715,0.027831047341026385,-0.006182987638351678,0.0,478.99659993649806,478.92911084569914,478.19532918595166,479.1811307276917
0.48000000000000015,-0.0008610590422041818,0.0005270574791615466,10.236459392163583,0.0026959315213828106,0.001208532825098807,0.0,-0.00614981757284303,0.003470970306398001,1.2762358766365112,1.4073003727620506e-05,-0.007688384141086318,0.0,465.0714309369737,464.9536284440811,465.8159487681635,463.6358015978351
0.5400000000000001,-0.0012514801432783494,0.0007866177981449751,10.314394572136234,0.0027304607581299933,0.00031530993068518143,0.0,-0.006806808650260338,0.005182583555194856,1.3215520033417856,0.0016754083130245659,-0.03592953652096591,0.0,422.4064744557278,419.9642352144175,420.4271292718361,420.57101970092924
0.6000000000000002,-0.0016583927923045447,0.0011564800604138272,10.397343503954396,0.0031175708857134055,6.281611270803964,0.0,-0.0065454535106864355,0.007172870519221184,1.4432663146254336,0.014610681554632875,-0.023829815261567952,0.0,446.00137813623354,446.98804561074843,443.9130804055825,444.9730699894937
0.6600000000000003,-0.0020162063681436774,0.0016492039181457416,10.485279618294662,0.004046724830417681,6.2802040097981,0.0,-0.005248724501416292,0.009335812883806333,1.4878797480780452,0.017181187735029788,-0.022713886668350537,0.0,421.15034602747954,421.2467585804489,420.8108411007235,421.033190552573
0.7200000000000003,-0.0022572711638288285,0.0023076833770484936,10.579711878137658,0.006070356966081825,6.27871676232386,0.0,-0.002627459490873922,0.01279784980813361,1.6596274242651228,0.05493624239891781,-0.02929496388831524,0.0,461.04801643046875,460.5277305732651,460.22805812504237,463.2067895529204
0.7800000000000004,-0.002294834846074896,0.003243077673110246,10.686720385941463,0.009261903343268152,6.277120700502037,0.0,0.0015805023425836669,0.01878126741325185,1.906940122850569,0.04945592259514815,-0.021695179321768822,0.0,483.93287473955417,484.50444361516,483.9607299812591,483.5496980413086
0.8400000000000004,-0.0020630305788586177,0.004583363653496893,10.8052245292123,0.011810979490997298,6.275358068048789,0.0,0.006300613462187998,0.02619514714347878,2.0429606469884245,0.022484718764046608,-0.0527997125394429,0.0,453.3123319985685,450.8056585230605,452.4196388666168,450.24382070276096
0.9000000000000005,-0.0014735225665668695,0.006458091198136795,10.935265055615703,0.013193509692478678,6.271931969446559,0.0,0.013752084422953116,0.03645939957616272,2.291254283417696,0.02413427993895105,-0.06750298466223806,0.0,487.05726574268647,485.95443413606006,484.51432160311623,484.63831101520634
0.9600000000000005,-0.0003816378458776227,0.008946806401566696,11.077297049414742,0.015863348731313565,6.267723568929437,0.0,0.02309230049013506,0.04673726148968359,2.442824723913034,0.06867992826676543,-0.07601479116097702,0.0,457.72046572486096,457.03896049883616,456.7812407147783,460.3206179653122
1.0200000000000005,0.0013443892720784193,0.01209926963014865,11.22708248319305,0.02079171149634451,6.263080912408007,0.0,0.03491206672624622,0.058815636274878076,2.5497736558398176,0.10057026783375508,-0.08025110906139757,0.0,444.7998292727325,444.44800854334693,443.8390117008119,446.45367595132245
1.0800000000000005,0.003942121219369272,0.01615320021071892,11.38636526432938,0.026941977424615793,6.2578293235491635,0.0,0.05225557681282748,0.07702459773985677,2.7591408566648377,0.10611366882548674,-0.10890659825565206,0.0,477.154789285237,474.9559746309874,476.5436312753736,476.9754893467758
